#d[um],V[V],DeltaV
0,260,30
200,260,30
400,260,30
600,260,30
800,260,30
1000,260,30
1200,250,30
1400,250,30
1600,220,30
1800,200,30
2000,180,30
2100,170,30
2200,160,30
2300,150,30
2400,140,30
2500,120,30
2600,100,30
2700,90,10
2800,85,10
2900,75,10
3000,65,10
3100,55,10
3200,45,10
3300,35,10
3400,30,10
3500,25,2
3600,22,2
3700,18,2
3800,16,2
3900,13,2
4000,10,1
4100,8,1
4200,7,1
4300,6,1
4400,5,1
4500,4,1
4600,3,1
4700,2.5,0.5
4800,1.9,0.5
4900,1.5,0.2
5000,1.2,0.2
5100,1,0.1
5200,0.8,0.1
5300,0.7,0.1
5400,0.6,0.1
